Budaya,Jenis,Deskripsi,Kota,Provinsi,Rating
Ludruk Versi A,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-649.,Surabaya,Jawa Timur,4.3
Karapan Sapi Versi B,Tradisi,Balap sapi khas Madura. Varian budaya ke-650.,Sumenep,Jawa Timur,3.8
Tari Jaranan Buto I,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-651.,Banyuwangi,Jawa Timur,3.7
Sate Madura II,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-652.,Pamekasan,Jawa Timur,3.7
Rujak Cingur III,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-653.,Surabaya,Jawa Timur,4.1
Batik Madura Baru,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-654.,Bangkalan,Jawa Timur,4.7
Debus Asli,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-655.,Serang,Banten,4.9
Rampak Bedug Klasik,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-656.,Pandeglang,Banten,4.5
Tari Cokek Modern,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-657.,Tangerang,Banten,4.7
Uli Sera Tradisi,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-658.,Lebak,Banten,4.6
Kue Jojorong Versi A,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-659.,Pandeglang,Banten,4.8
Tari Bedhaya Versi B,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-660.,Yogyakarta,DI Yogyakarta,3.6
Wayang Orang I,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-661.,Yogyakarta,DI Yogyakarta,4.2
Batik Jogja II,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-662.,Yogyakarta,DI Yogyakarta,4.2
Gudeg III,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-663.,Yogyakarta,DI Yogyakarta,3.5
Geplak Baru,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-664.,Bantul,DI Yogyakarta,4.4
Tari Kecak Asli,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-665.,Gianyar,Bali,4.2
Tari Barong Klasik,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-666.,Gianyar,Bali,4
Ogoh-ogoh Modern,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-667.,Denpasar,Bali,4
Subak Tradisi,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-668.,Tabanan,Bali,4.3
Canang Sari Versi A,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-669.,Ubud,Bali,3.7
Tari Legong Versi B,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-670.,Ubud,Bali,4.2
Bebek Betutu I,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-671.,Gianyar,Bali,4
Loloh Cemcem II,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-672.,Karangasem,Bali,4.9
Angklung III,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-673.,Bandung,Jawa Barat,3.6
Wayang Golek Baru,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-674.,Bandung,Jawa Barat,4.4
Jaipongan Asli,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-675.,Karawang,Jawa Barat,3.7
Tari Topeng Cirebon Klasik,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-676.,Cirebon,Jawa Barat,3.6
Seren Taun Modern,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-677.,Kuningan,Jawa Barat,4.2
Sisingaan Tradisi,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-678.,Subang,Jawa Barat,3.8
Comro Versi A,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-679.,Bandung,Jawa Barat,5
Batik Ciamis Versi B,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-680.,Ciamis,Jawa Barat,4.6
Tari Gambyong I,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-681.,Surakarta,Jawa Tengah,4.3
Batik Solo II,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-682.,Solo,Jawa Tengah,4.9
Tari Lengger III,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-683.,Banyumas,Jawa Tengah,3.5
Ebeg Baru,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-684.,Banyumas,Jawa Tengah,5
Wayang Kulit Asli,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-685.,Surakarta,Jawa Tengah,4.3
Gunungan Klasik,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-686.,Yogyakarta,DI Yogyakarta,4.1
Lumpia Semarang Modern,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-687.,Semarang,Jawa Tengah,3.9
Grebeg Sudiro Tradisi,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-688.,Solo,Jawa Tengah,4.3
Reog Ponorogo Versi A,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-689.,Ponorogo,Jawa Timur,3.8
Tari Remo Versi B,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-690.,Jombang,Jawa Timur,3.7
Ludruk I,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-691.,Surabaya,Jawa Timur,4
Karapan Sapi II,Tradisi,Balap sapi khas Madura. Varian budaya ke-692.,Sumenep,Jawa Timur,3.6
Tari Jaranan Buto III,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-693.,Banyuwangi,Jawa Timur,4.7
Sate Madura Baru,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-694.,Pamekasan,Jawa Timur,4.3
Rujak Cingur Asli,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-695.,Surabaya,Jawa Timur,4.6
Batik Madura Klasik,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-696.,Bangkalan,Jawa Timur,3.6
Debus Modern,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-697.,Serang,Banten,4.6
Rampak Bedug Tradisi,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-698.,Pandeglang,Banten,4
Tari Cokek Versi A,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-699.,Tangerang,Banten,4.4
Uli Sera Versi B,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-700.,Lebak,Banten,3.5
Kue Jojorong I,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-701.,Pandeglang,Banten,4.9
Tari Bedhaya II,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-702.,Yogyakarta,DI Yogyakarta,4
Wayang Orang III,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-703.,Yogyakarta,DI Yogyakarta,4.9
Batik Jogja Baru,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-704.,Yogyakarta,DI Yogyakarta,4
Gudeg Asli,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-705.,Yogyakarta,DI Yogyakarta,3.9
Geplak Klasik,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-706.,Bantul,DI Yogyakarta,4.7
Tari Kecak Modern,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-707.,Gianyar,Bali,4
Tari Barong Tradisi,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-708.,Gianyar,Bali,4.7
Ogoh-ogoh Versi A,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-709.,Denpasar,Bali,4.9
Subak Versi B,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-710.,Tabanan,Bali,3.9
Canang Sari I,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-711.,Ubud,Bali,4.9
Tari Legong II,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-712.,Ubud,Bali,4.7
Bebek Betutu III,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-713.,Gianyar,Bali,3.8
Loloh Cemcem Baru,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-714.,Karangasem,Bali,3.9
Angklung Asli,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-715.,Bandung,Jawa Barat,4.9
Wayang Golek Klasik,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-716.,Bandung,Jawa Barat,4.1
Jaipongan Modern,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-717.,Karawang,Jawa Barat,4
Tari Topeng Cirebon Tradisi,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-718.,Cirebon,Jawa Barat,3.9
Seren Taun Versi A,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-719.,Kuningan,Jawa Barat,3.9
Sisingaan Versi B,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-720.,Subang,Jawa Barat,4.4
Comro I,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-721.,Bandung,Jawa Barat,3.7
Batik Ciamis II,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-722.,Ciamis,Jawa Barat,5
Tari Gambyong III,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-723.,Surakarta,Jawa Tengah,3.9
Batik Solo Baru,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-724.,Solo,Jawa Tengah,4
Tari Lengger Asli,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-725.,Banyumas,Jawa Tengah,4
Ebeg Klasik,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-726.,Banyumas,Jawa Tengah,4.2
Wayang Kulit Modern,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-727.,Surakarta,Jawa Tengah,4.4
Gunungan Tradisi,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-728.,Yogyakarta,DI Yogyakarta,4.7
Lumpia Semarang Versi A,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-729.,Semarang,Jawa Tengah,4.8
Grebeg Sudiro Versi B,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-730.,Solo,Jawa Tengah,4.3
Reog Ponorogo I,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-731.,Ponorogo,Jawa Timur,4.1
Tari Remo II,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-732.,Jombang,Jawa Timur,4.8
Ludruk III,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-733.,Surabaya,Jawa Timur,4.5
Karapan Sapi Baru,Tradisi,Balap sapi khas Madura. Varian budaya ke-734.,Sumenep,Jawa Timur,4
Tari Jaranan Buto Asli,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-735.,Banyuwangi,Jawa Timur,3.9
Sate Madura Klasik,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-736.,Pamekasan,Jawa Timur,4.5
Rujak Cingur Modern,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-737.,Surabaya,Jawa Timur,4.3
Batik Madura Tradisi,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-738.,Bangkalan,Jawa Timur,4
Debus Versi A,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-739.,Serang,Banten,4.2
Rampak Bedug Versi B,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-740.,Pandeglang,Banten,3.6
Tari Cokek I,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-741.,Tangerang,Banten,4.5
Uli Sera II,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-742.,Lebak,Banten,4.4
Kue Jojorong III,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-743.,Pandeglang,Banten,4.9
Tari Bedhaya Baru,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-744.,Yogyakarta,DI Yogyakarta,4.5
Wayang Orang Asli,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-745.,Yogyakarta,DI Yogyakarta,3.7
Batik Jogja Klasik,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-746.,Yogyakarta,DI Yogyakarta,4.1
Gudeg Modern,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-747.,Yogyakarta,DI Yogyakarta,4.5
Geplak Tradisi,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-748.,Bantul,DI Yogyakarta,4.2
Tari Kecak Versi A,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-749.,Gianyar,Bali,4.6
Tari Barong Versi B,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-750.,Gianyar,Bali,3.5
Ogoh-ogoh I,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-751.,Denpasar,Bali,4.3
Subak II,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-752.,Tabanan,Bali,3.5
Canang Sari III,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-753.,Ubud,Bali,4.8
Tari Legong Baru,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-754.,Ubud,Bali,3.6
Bebek Betutu Asli,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-755.,Gianyar,Bali,4.9
Loloh Cemcem Klasik,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-756.,Karangasem,Bali,4.1
Angklung Modern,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-757.,Bandung,Jawa Barat,4.2
Wayang Golek Tradisi,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-758.,Bandung,Jawa Barat,4.2
Jaipongan Versi A,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-759.,Karawang,Jawa Barat,4
Tari Topeng Cirebon Versi B,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-760.,Cirebon,Jawa Barat,4.5
Seren Taun I,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-761.,Kuningan,Jawa Barat,4.5
Sisingaan II,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-762.,Subang,Jawa Barat,3.8
Comro III,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-763.,Bandung,Jawa Barat,4.6
Batik Ciamis Baru,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-764.,Ciamis,Jawa Barat,3.7
Tari Gambyong Asli,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-765.,Surakarta,Jawa Tengah,4.2
Batik Solo Klasik,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-766.,Solo,Jawa Tengah,4.5
Tari Lengger Modern,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-767.,Banyumas,Jawa Tengah,4.7
Ebeg Tradisi,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-768.,Banyumas,Jawa Tengah,4.1
Wayang Kulit Versi A,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-769.,Surakarta,Jawa Tengah,4.5
Gunungan Versi B,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-770.,Yogyakarta,DI Yogyakarta,3.9
Lumpia Semarang I,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-771.,Semarang,Jawa Tengah,4.3
Grebeg Sudiro II,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-772.,Solo,Jawa Tengah,4.8
Reog Ponorogo III,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-773.,Ponorogo,Jawa Timur,4.7
Tari Remo Baru,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-774.,Jombang,Jawa Timur,4
Ludruk Asli,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-775.,Surabaya,Jawa Timur,4
Karapan Sapi Klasik,Tradisi,Balap sapi khas Madura. Varian budaya ke-776.,Sumenep,Jawa Timur,4.1
Tari Jaranan Buto Modern,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-777.,Banyuwangi,Jawa Timur,4.1
Sate Madura Tradisi,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-778.,Pamekasan,Jawa Timur,4.5
Rujak Cingur Versi A,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-779.,Surabaya,Jawa Timur,4.2
Batik Madura Versi B,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-780.,Bangkalan,Jawa Timur,3.7
Debus I,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-781.,Serang,Banten,3.9
Rampak Bedug II,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-782.,Pandeglang,Banten,4.9
Tari Cokek III,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-783.,Tangerang,Banten,4.6
Uli Sera Baru,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-784.,Lebak,Banten,4.4
Kue Jojorong Asli,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-785.,Pandeglang,Banten,4
Tari Bedhaya Klasik,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-786.,Yogyakarta,DI Yogyakarta,4.7
Wayang Orang Modern,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-787.,Yogyakarta,DI Yogyakarta,4.3
Batik Jogja Tradisi,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-788.,Yogyakarta,DI Yogyakarta,4.1
Gudeg Versi A,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-789.,Yogyakarta,DI Yogyakarta,3.7
Geplak Versi B,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-790.,Bantul,DI Yogyakarta,4.8
Tari Kecak I,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-791.,Gianyar,Bali,4.4
Tari Barong II,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-792.,Gianyar,Bali,4.7
Ogoh-ogoh III,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-793.,Denpasar,Bali,4.4
Subak Baru,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-794.,Tabanan,Bali,4
Canang Sari Asli,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-795.,Ubud,Bali,4.8
Tari Legong Klasik,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-796.,Ubud,Bali,3.7
Bebek Betutu Modern,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-797.,Gianyar,Bali,4.8
Loloh Cemcem Tradisi,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-798.,Karangasem,Bali,5
Angklung Versi A,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-799.,Bandung,Jawa Barat,4.6
Wayang Golek Versi B,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-800.,Bandung,Jawa Barat,3.9
Jaipongan I,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-801.,Karawang,Jawa Barat,4.7
Tari Topeng Cirebon II,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-802.,Cirebon,Jawa Barat,3.5
Seren Taun III,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-803.,Kuningan,Jawa Barat,3.6
Sisingaan Baru,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-804.,Subang,Jawa Barat,4.6
Comro Asli,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-805.,Bandung,Jawa Barat,4.7
Batik Ciamis Klasik,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-806.,Ciamis,Jawa Barat,3.8
Tari Gambyong Modern,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-807.,Surakarta,Jawa Tengah,4.9
Batik Solo Tradisi,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-808.,Solo,Jawa Tengah,3.8
Tari Lengger Versi A,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-809.,Banyumas,Jawa Tengah,4.8
Ebeg Versi B,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-810.,Banyumas,Jawa Tengah,4.5
Wayang Kulit I,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-811.,Surakarta,Jawa Tengah,4.3
Gunungan II,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-812.,Yogyakarta,DI Yogyakarta,4.6
Lumpia Semarang III,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-813.,Semarang,Jawa Tengah,4.6
Grebeg Sudiro Baru,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-814.,Solo,Jawa Tengah,4.1
Reog Ponorogo Asli,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-815.,Ponorogo,Jawa Timur,4.7
Tari Remo Klasik,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-816.,Jombang,Jawa Timur,4.1
Ludruk Modern,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-817.,Surabaya,Jawa Timur,4.8
Karapan Sapi Tradisi,Tradisi,Balap sapi khas Madura. Varian budaya ke-818.,Sumenep,Jawa Timur,3.7
Tari Jaranan Buto Versi A,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-819.,Banyuwangi,Jawa Timur,3.8
Sate Madura Versi B,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-820.,Pamekasan,Jawa Timur,4.2
Rujak Cingur I,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-821.,Surabaya,Jawa Timur,4.6
Batik Madura II,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-822.,Bangkalan,Jawa Timur,4.8
Debus III,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-823.,Serang,Banten,4.2
Rampak Bedug Baru,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-824.,Pandeglang,Banten,4.2
Tari Cokek Asli,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-825.,Tangerang,Banten,4.8
Uli Sera Klasik,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-826.,Lebak,Banten,3.8
Kue Jojorong Modern,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-827.,Pandeglang,Banten,3.8
Tari Bedhaya Tradisi,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-828.,Yogyakarta,DI Yogyakarta,4.7
Wayang Orang Versi A,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-829.,Yogyakarta,DI Yogyakarta,4.9
Batik Jogja Versi B,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-830.,Yogyakarta,DI Yogyakarta,4.1
Gudeg I,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-831.,Yogyakarta,DI Yogyakarta,5
Geplak II,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-832.,Bantul,DI Yogyakarta,3.9
Tari Kecak III,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-833.,Gianyar,Bali,4.1
Tari Barong Baru,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-834.,Gianyar,Bali,4.9
Ogoh-ogoh Asli,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-835.,Denpasar,Bali,4.1
Subak Klasik,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-836.,Tabanan,Bali,3.8
Canang Sari Modern,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-837.,Ubud,Bali,4.9
Tari Legong Tradisi,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-838.,Ubud,Bali,4.6
Bebek Betutu Versi A,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-839.,Gianyar,Bali,4.2
Loloh Cemcem Versi B,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-840.,Karangasem,Bali,4.9
Angklung I,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-841.,Bandung,Jawa Barat,4
Wayang Golek II,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-842.,Bandung,Jawa Barat,4.4
Jaipongan III,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-843.,Karawang,Jawa Barat,4.5
Tari Topeng Cirebon Baru,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-844.,Cirebon,Jawa Barat,3.8
Seren Taun Asli,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-845.,Kuningan,Jawa Barat,3.9
Sisingaan Klasik,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-846.,Subang,Jawa Barat,4.6
Comro Modern,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-847.,Bandung,Jawa Barat,4
Batik Ciamis Tradisi,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-848.,Ciamis,Jawa Barat,4.5
Tari Gambyong Versi A,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-849.,Surakarta,Jawa Tengah,4.6
Batik Solo Versi B,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-850.,Solo,Jawa Tengah,4.9
Tari Lengger I,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-851.,Banyumas,Jawa Tengah,4.3
Ebeg II,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-852.,Banyumas,Jawa Tengah,3.9
Wayang Kulit III,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-853.,Surakarta,Jawa Tengah,4.2
Gunungan Baru,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-854.,Yogyakarta,DI Yogyakarta,4.7
Lumpia Semarang Asli,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-855.,Semarang,Jawa Tengah,4.9
Grebeg Sudiro Klasik,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-856.,Solo,Jawa Tengah,3.5
Reog Ponorogo Modern,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-857.,Ponorogo,Jawa Timur,4.3
Tari Remo Tradisi,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-858.,Jombang,Jawa Timur,4.5
Ludruk Versi A,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-859.,Surabaya,Jawa Timur,3.8
Karapan Sapi Versi B,Tradisi,Balap sapi khas Madura. Varian budaya ke-860.,Sumenep,Jawa Timur,4.3
Tari Jaranan Buto I,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-861.,Banyuwangi,Jawa Timur,3.9
